,Car Name,Year,Kilometers,Fuel,Location,EMI,Price
107,Mahindra TUV300 T8 mHAWK100 Dual Tone,2017,"30,000 km",Diesel,Delhi,"EMI starts at₹79,712",21.5 Lakh
108,Toyota Glanza G,2021,"45,000 km",Diesel,Delhi,"EMI starts at₹44,422",30 Lakh
109,Volkswagen Polo Highline1.2L (P),2013,"32,000 km",Diesel,Delhi,EMI starts at₹1.29 L,39 Lakh
110,Maruti Suzuki Swift ZXi Plus [2018-2019],2018,"76,345 km",Diesel,Delhi,EMI starts at₹1.54 L,24.5 Lakh
111,Maruti Suzuki Swift DZire LDI,2013,"38,386 km",Diesel,Delhi,"EMI starts at₹53,141",23.5 Lakh
112,Maruti Suzuki Swift Dzire LXI (O),2015,"18,001 km",Diesel,Delhi,EMI starts at₹1.15 L,39.9 Lakh
113,Maruti Suzuki Alto 800 Lxi,2017,"5,000 km",Petrol,Delhi,"EMI starts at₹88,845",23.45 Lakh
114,Ford EcoSport Titanium 1.5L Ti-VCT AT,2015,"57,718 km",Petrol,Delhi,EMI starts at₹2.24 L,61.9 Lakh
115,Hyundai i10 Sportz 1.2 Kappa2,2013,"89,000 km",Petrol,Delhi,EMI starts at₹1.38 L,10.7 Lakh
116,Hyundai Verna Fluidic 1.6 VTVT SX,2014,"13,200 km",Diesel,Delhi,"EMI starts at₹90,506",59.5 Lakh
117,Mercedes-Benz C-Class C 220 CDI Avantgarde,2020,"20,000 km",Diesel,Delhi,"EMI starts at₹93,827",9.85 Lakh
118,Maruti Suzuki Alto K10 VXi,2012,"90,826 km",Petrol,Delhi,"EMI starts at₹44,588",40.95 Lakh
119,BMW X1 sDrive20d M Sport,2018,"49,769 km",Petrol,Delhi,"EMI starts at₹8,776",15.75 Lakh
120,Audi A8 L 4.2 FSI quattro,2011,"45,876 km",Diesel,Delhi,"EMI starts at₹8,054",35 Lakh
121,Mahindra Thar LX 4-STR Convertible Diesel AT,2020,"48,502 km",Petrol,Delhi,"EMI starts at₹29,725",42 Lakh
122,Ford Endeavour Titanium 2.2 4x2 AT,2018,"30,632 km",Petrol,Delhi,"EMI starts at₹3,653",64.5 Lakh
123,Maruti Suzuki Alto K10 LXi,2014,"55,314 km",Diesel,Delhi,"EMI starts at₹17,021",48 Lakh
124,Mercedes-Benz Maybach GLS 600 4MATIC,2021,"21,469 km",Petrol,Delhi,"EMI starts at₹8,137",26.75 Lakh
125,Mercedes-Benz S-Class S 350 CDI,2014,"56,000 km",Diesel,Delhi,"EMI starts at₹9,880",77.8 Lakh
126,MG Hector Sharp 1.5 DCT Petrol [2019-2020],2019,"55,200 km",Petrol,Delhi,"EMI starts at₹8,635",93 Lakh
127,Mercedes-Benz E-Class Cabriolet E 400 Cabriolet,2015,"89,000 km",Petrol,Delhi,"EMI starts at₹6,642",32 Lakh
128,Land Rover Range Rover Sport HSE 2.0 Petrol,2021,"86,000 km",Petrol,Delhi,"EMI starts at₹6,559",69 Lakh
129,Mercedes-Benz S-Class Maybach S 600,2018,"52,360 km",Diesel,Delhi,"EMI starts at₹4,234",53.5 Lakh
130,MINI Clubman Cooper S,2020,"39,584 km",Petrol,Delhi,"EMI starts at₹7,473",1.35 Crore
131,Bentley Continental Flying Spur Sedan,2008,"74,600 km",Petrol,Delhi,"EMI starts at₹4,815",82.9 Lakh
132,Porsche Cayenne Coupe Base,2022,"49,700 km",Diesel,Delhi,"EMI starts at₹5,646",54.5 Lakh
133,Mahindra XUV500 W10 1.99,2017,"82,200 km",Petrol,Delhi,"EMI starts at₹7,888",56.5 Lakh
134,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],2022,"64,300 km",Diesel,Gurgaon,"EMI starts at₹4,898",26.85 Lakh
135,Mercedes-Benz GLS 400d 4MATIC,2021,"78,304 km",Petrol,Gurgaon,"EMI starts at₹10,213",5.29 Lakh
136,Mercedes-Benz S-Coupe S 63 AMG [2015-2018],2016,"55,000 km",Petrol,Delhi,"EMI starts at₹12,122",4.85 Lakh
137,Mercedes-Benz CLA 200 CDI Sport,2020,"50,047 km",Diesel,Delhi,"EMI starts at₹5,563",17.9 Lakh
138,BMW 3 Series GT 320d Luxury Line [2014-2016],2015,"68,000 km",Petrol,Noida,"EMI starts at₹8,884",2.2 Lakh
139,Porsche Panamera 3.0 Diesel,2013,"41,700 km",Diesel,Faridabad,"EMI starts at₹5,148",30 Lakh
140,Mercedes-Benz E-Class E 220 d Avantgarde,2018,"62,224 km",Petrol,Delhi,"EMI starts at₹7,057",10.25 Lakh
141,Ford Endeavour Titanium 2.2 4x2 AT [2016-2018],2017,"65,000 km",Petrol,Delhi,"EMI starts at₹4,317",12.5 Lakh
142,Ford Endeavour Trend 2.2 4x2 AT,2017,"63,000 km",Petrol,Faridabad,"EMI starts at₹8,137",4.9 Lakh
143,Land Rover Discovery Sport HSE Luxury,2019,"40,000 km",Petrol,Delhi,"EMI starts at₹4,483",5.95 Lakh
144,Toyota Camry 2.5L AT,2017,"76,000 km",Petrol,Delhi,"EMI starts at₹8,884",5.2 Lakh
145,Mercedes-Benz C-Class Cabriolet C 300,2018,"32,467 km",Petrol,Faridabad,"EMI starts at₹64,766",4 Lakh
146,Hyundai Venue SX (O) 1.0 Turbo iMT,2021,"93,000 km",Petrol,Noida,"EMI starts at₹3,238",2.95 Lakh
147,Mercedes-Benz GLS 350 d,2017,"10,000 km",Petrol,Delhi,"EMI starts at₹44,838",3.95 Lakh
148,Audi Q3 35 TDI Premium + Sunroof,2014,"15,000 km",CNG,Delhi,"EMI starts at₹28,895",2.55 Lakh
149,BMW Z4 sDrive 35i,2014,"15,000 km",Petrol,Noida,"EMI starts at₹41,516",4.5 Lakh
150,Hyundai Verna SX (O)1.5 VTVT,2022,"14,500 km",Petrol,Delhi,"EMI starts at₹4,168",2.9 Lakh
151,Audi Q7 45 TDI Technology Pack,2016,"43,500 km",Petrol,Delhi,EMI starts at₹5.56 L,3.4 Lakh
152,Mercedes-Benz C-Class C 200 Progressive [2018-2020],2019,"25,500 km",Petrol,Gurgaon,"EMI starts at₹79,296",2.45 Lakh
153,Audi S5 Sportback 3.0 TFSI Quattro,2020,"9,800 km",CNG,Delhi,"EMI starts at₹26,554",4.75 Lakh
154,Land Rover Discovery Sport HSE,2019,"15,000 km",Petrol,Delhi,"EMI starts at₹81,372",2.95 Lakh
155,Mercedes-Benz CLA 200 Petrol Sport (CBU),2017,"18,500 km",Diesel,Gurgaon,EMI starts at₹2.08 L,6.15 Lakh
156,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],2022,"3,000 km",Petrol,Gurgaon,"EMI starts at₹65,596",7.3 Lakh
157,Porsche Macan Base [2019-2020],2022,"82,000 km",Petrol,Gurgaon,EMI starts at₹2.47 L,3.35 Lakh
158,Mercedes-Benz CLA 200 Urban Sport,2019,"16,500 km",Petrol,Gurgaon,"EMI starts at₹17,852",5.35 Lakh
159,Ford Mustang GT Fastback 5.0L v8,2017,950 km,Diesel,Delhi,EMI starts at₹1.3 L,3.1 Lakh
160,Volvo XC90 Momentum Luxury [2015-2020],2019,"16,500 km",Petrol,Noida,EMI starts at₹2.29 L,4.25 Lakh
161,Mercedes-Benz GLS 450 4MATIC,2021,"32,000 km",Petrol,Delhi,"EMI starts at₹53,971",2.6 Lakh
162,Porsche 718 Cayman [2017-2020],2018,"85,000 km",Petrol,Gurgaon,"EMI starts at₹35,704",4.9 Lakh
163,BMW X5 xDrive30d Pure Experience (5 Seater),2018,"40,000 km",Petrol,Gurgaon,"EMI starts at₹49,820",2.7 Lakh
164,Mercedes-Benz GLC 200 Progressive [2019-2021],2020,"35,000 km",Petrol,Faridabad,"EMI starts at₹64,766",5.35 Lakh
165,Mercedes-Benz M-Class ML 350 CDI,2017,"85,000 km",Diesel,Faridabad,"EMI starts at₹40,686",39 Lakh
166,Maruti Suzuki Ignis Delta 1.2 AMT,2022,"70,000 km",Petrol,Delhi,"EMI starts at₹39,025",1.95 Lakh
167,Maruti Suzuki Swift Lxi ABS (O),2019,"19,000 km",Diesel,Faridabad,"EMI starts at₹66,260",27 Lakh
168,Mahindra Thar LX 4-STR Convertible Diesel AT,2017,"47,000 km",Petrol,Faridabad,"EMI starts at₹38,942",20 Lakh
169,Hyundai Eon Era +,2018,"32,000 km",Diesel,Faridabad,EMI starts at₹1.03 L,17.4 Lakh
170,Volvo S90 D4 Inscription,2018,"8,800 km",Diesel,Faridabad,"EMI starts at₹17,769",25 Lakh
171,Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,2021,"38,000 km",Petrol,Delhi,"EMI starts at₹98,809",2.51 Lakh
172,Jeep Compass Sport 1.4 Petrol,2020,"85,000 km",Petrol,Delhi,"EMI starts at₹16,357",3.35 Crore
173,Volkswagen Polo Highline1.2L (P),2017,"18,500 km",Diesel,Delhi,"EMI starts at₹68,004",47.75 Lakh
174,Honda City V,2018,"1,500 km",Petrol,Delhi,"EMI starts at₹26,155",15.99 Lakh
175,Hyundai Elite i20 Magna 1.2 [2016-2017],2021,"1,10,000 km",Petrol,Delhi,"EMI starts at₹58,123",49 Lakh
176,Maruti Suzuki Wagon R 1.0 VXI,2021,"45,000 km",Petrol,Delhi,"EMI starts at₹69,748",1.25 Crore
177,Honda Brio S MT,2021,"11,000 km",Petrol,Delhi,EMI starts at₹1.07 L,1.68 Crore
178,Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2017,"46,000 km",Petrol,Delhi,"EMI starts at₹79,712",39.5 Lakh
179,Maruti Suzuki Alto 800 Lxi CNG,2017,"58,000 km",Petrol,Delhi,"EMI starts at₹44,422",48.5 Lakh
180,Honda Amaze 1.2 S i-VTEC,2020,"11,000 km",Petrol,Delhi,EMI starts at₹1.29 L,1.49 Crore
181,Honda Brio S MT,2021,"3,800 km",Diesel,Delhi,EMI starts at₹1.54 L,10.75 Lakh
182,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2019,"6,200 km",Diesel,Delhi,"EMI starts at₹53,141",78 Lakh
183,Toyota Camry W1 MT,2019,"29,000 km",Diesel,Delhi,EMI starts at₹1.15 L,1.38 Crore
184,Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],2017,"59,000 km",Petrol,Delhi,"EMI starts at₹88,845",1.61 Crore
185,Hyundai i20 Magna 1.2,2017,"17,000 km",Diesel,Delhi,EMI starts at₹2.24 L,32.5 Lakh
186,Mahindra TUV300 T8 mHAWK100 Dual Tone,2019,"30,000 km",Diesel,Delhi,EMI starts at₹1.38 L,21.5 Lakh
187,Toyota Glanza G,2020,"45,000 km",Diesel,Delhi,"EMI starts at₹90,506",30 Lakh
188,Volkswagen Polo Highline1.2L (P),2020,"32,000 km",Diesel,Delhi,"EMI starts at₹93,827",39 Lakh
189,Maruti Suzuki Swift ZXi Plus [2018-2019],2015,"33,000 km",Diesel,Delhi,"EMI starts at₹74,314",24.5 Lakh
190,Maruti Suzuki Swift DZire LDI,2019,"13,000 km",Diesel,Delhi,"EMI starts at₹71,408",23.5 Lakh
191,Maruti Suzuki Swift Dzire LXI (O),2017,"43,000 km",Diesel,Delhi,"EMI starts at₹86,354",39.9 Lakh
192,Maruti Suzuki Alto 800 Lxi,2021,"47,000 km",Petrol,Delhi,EMI starts at₹1.08 L,23.45 Lakh
193,Ford EcoSport Titanium 1.5L Ti-VCT AT,2012,"46,000 km",Petrol,Delhi,EMI starts at₹2.74 L,61.9 Lakh
194,Hyundai i10 Sportz 1.2 Kappa2,2018,"40,000 km",Petrol,Delhi,EMI starts at₹1.05 L,10.7 Lakh
195,Hyundai Verna Fluidic 1.6 VTVT SX,2020,"13,000 km",Diesel,Delhi,EMI starts at₹1.24 L,59.5 Lakh
196,Mercedes-Benz C-Class C 220 CDI Avantgarde,2018,"29,000 km",Diesel,Delhi,EMI starts at₹1.38 L,9.85 Lakh
197,Maruti Suzuki Alto K10 VXi,2015,"43,000 km",Petrol,Delhi,"EMI starts at₹73,069",40.95 Lakh
198,BMW X1 sDrive20d M Sport,2015,"30,000 km",Petrol,Delhi,"EMI starts at₹77,221",15.75 Lakh
199,Audi A8 L 4.2 FSI quattro,2017,"18,000 km",Diesel,Delhi,EMI starts at₹1.14 L,35 Lakh
200,Mahindra Thar LX 4-STR Convertible Diesel AT,2017,"14,000 km",Petrol,Delhi,"EMI starts at₹32,383",42 Lakh
201,Ford Endeavour Titanium 2.2 4x2 AT,2013,"12,000 km",Petrol,Delhi,"EMI starts at₹82,867",64.5 Lakh
